date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:12:27	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-58f36cf4-5343f9623ef6602d;;;%22	https://asbreukagribv.com/robots.txt		(from )
13:12:27	194174/194174	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20May%202025%2006:12:27%20GMT	https://asbreukagribv.com/	./asbreukagribv-site/asbreukagribv.com/index.html	(from )
13:12:28	4174/4174	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2007%20May%202025%2006:12:28%20GMT	https://asbreukagribv.com/feed/index.rss	./asbreukagribv-site/asbreukagribv.com/feed/index.rss	(from https://asbreukagribv.com/)
13:12:29	422567/422567	---M--	200	added ('OK')	image/jpeg	etag:%22672a7-628fd66f-9d1f5e6cf874a074;;;%22	https://asbreukagribv.com/skin/wp-content/uploads/2022/05/banner-1-3.jpg	./asbreukagribv-site/asbreukagribv.com/skin/wp-content/uploads/2022/05/banner-1-3.jpg	(from https://asbreukagribv.com/)
13:12:30	4174/4174	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2007%20May%202025%2006:12:29%20GMT	https://asbreukagribv.com/comments/feed/index.rss	./asbreukagribv-site/asbreukagribv.com/comments/feed/index.rss	(from https://asbreukagribv.com/)
13:12:31	3304/3304	---M--	200	added ('OK')	application/x-font-woff	etag:%22ce8-62e4de2e-92dd15c22f329806;;;%22	https://asbreukagribv.com/skin/wp-content/themes/astra/assets/fonts/astra.woff	./asbreukagribv-site/asbreukagribv.com/skin/wp-content/themes/astra/assets/fonts/astra.woff	(from https://asbreukagribv.com/)
13:12:31	46256/46256	---M-Z	200	added ('OK')	text/css	etag:%22b4b0-6320e049-ed39f60bbd29991f;gz%22	https://asbreukagribv.com/skin/wp-content/themes/astra/assets/css/minified/frontend.min%ef%b9%96ver=3.9.1.css	./asbreukagribv-site/asbreukagribv.com/skin/wp-content/themes/astra/assets/css/minified/frontend.min%ef%b9%96ver=3.9.1.css	(from https://asbreukagribv.com/)
13:12:32	3412/3412	---M-Z	200	added ('OK')	text/css	etag:%22d54-6320e046-9c3a2c4e1730368e;gz%22	https://asbreukagribv.com/skin/wp-content/themes/astra/assets/css/minified/menu-animation.min%ef%b9%96ver=3.9.1.css	./asbreukagribv-site/asbreukagribv.com/skin/wp-content/themes/astra/assets/css/minified/menu-animation.min%ef%b9%96ver=3.9.1.css	(from https://asbreukagribv.com/)
13:12:33	88932/88932	---M-Z	200	added ('OK')	text/css	etag:%2215b64-6320e047-63d84b11df10eabc;gz%22	https://asbreukagribv.com/skin/wp-includes/css/dist/block-library/style.min%ef%b9%96ver=6.0.2.css	./asbreukagribv-site/asbreukagribv.com/skin/wp-includes/css/dist/block-library/style.min%ef%b9%96ver=6.0.2.css	(from https://asbreukagribv.com/)
13:12:34	22745/22745	---M-Z	200	added ('OK')	text/css	etag:%2258d9-6320e670-a19d273c8bb9a7e2;gz%22	https://asbreukagribv.com/skin/wp-content/plugins/wpforms-lite/assets/css/wpforms-base.min%ef%b9%96ver=1.7.5.5.css	./asbreukagribv-site/asbreukagribv.com/skin/wp-content/plugins/wpforms-lite/assets/css/wpforms-base.min%ef%b9%96ver=1.7.5.5.css	(from https://asbreukagribv.com/)
